UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
3:20:31:2031,13:20:31:2031, 0,0,200,-1,610624,805602,75409,736899,267307,508439,242591,566579,0
UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
3:45:06:456,13:45:06:456, 70,66,26,4095,1239188,277717,153358,159746,137277,119877,107957,58711,163,8
3:45:08:458,13:45:08:458, 70,66,26,4144,739351,431819,55957,261828,153698,58526,112022,73542,165,76
3:45:09:459,13:45:09:459, 70,66,26,4170,980754,358387,49084,52848,279026,92695,71458,70996,166,8
3:45:10:4510,13:45:10:4510, 70,66,26,4194,1808568,402668,46898,104644,258325,67539,79027,236006,167,76
3:45:11:4511,13:45:11:4511, 70,66,26,4219,1562397,263518,244176,280108,127217,149877,120190,136526,168,76
3:45:13:4513,13:45:13:4513, 70,66,26,4269,62263,32456,8961,74153,71669,21789,14539,23729,170,76
3:45:14:4514,13:45:14:4514, 70,66,26,4295,398515,576614,254907,26923,235555,155637,51623,74106,171,8
3:45:16:4516,13:45:16:4516, 70,66,26,4345,660989,156497,230610,214305,37735,135720,105413,52804,173,8
3:45:17:4517,13:45:17:4517, 70,66,26,4368,645823,169117,185735,61853,176989,125228,105133,39331,174,72
3:45:18:4518,13:45:18:4518, 70,66,26,4394,424088,172643,42826,144411,89322,105180,99146,98107,175,76
3:45:19:4519,13:45:19:4519, 70,66,26,4418,240627,177256,97906,99802,283971,81149,101492,59744,176,72
3:45:20:4520,13:45:20:4520, 70,66,26,4443,243377,331624,15609,40881,257157,106640,66338,157197,177,72
3:45:21:4521,13:45:21:4521, 70,66,26,4469,489213,530704,125094,48512,179301,132114,88754,111911,178,76
3:45:22:4522,13:45:22:4522, 70,66,26,4493,72136,315788,19951,251449,45755,66904,75208,78304,179,72
3:45:23:4523,13:45:23:4523, 70,66,26,4518,63318,131681,230472,59996,221920,139626,154150,65833,180,72
3:45:24:4524,13:45:24:4524, 70,66,26,4542,189387,250102,114831,171046,135841,58078,74842,143267,181,68
3:45:26:4526,13:45:26:4526, 70,66,26,4592,630555,410828,95860,557942,103629,82697,52033,40109,183,68
3:45:27:4527,13:45:27:4527, 70,66,26,4617,119065,51733,41038,32234,45949,13256,18148,49344,184,68
3:45:28:4528,13:45:28:4528, 70,66,26,4644,1462339,98977,13687,297051,134152,76945,83691,131660,185,76
3:45:29:4529,13:45:29:4529, 70,66,26,4667,312659,231289,172524,200569,97510,120535,72231,124055,186,68
3:45:30:4530,13:45:30:4530, 70,66,26,4693,327744,662958,98706,112053,146076,92622,34203,66483,187,72
3:45:31:4531,13:45:31:4531, 70,66,26,4717,410928,223829,234006,133689,172713,80092,93907,42804,188,68
3:45:32:4532,13:45:32:4532, 70,66,26,4742,205877,908330,80500,274122,178031,175948,115406,74535,189,68
3:45:33:4533,13:45:33:4533, 70,66,26,4767,341822,211515,75848,63745,171269,150850,67162,85049,190,68
3:45:34:4534,13:45:34:4534, 70,66,26,4791,735011,142517,186707,83253,417729,114101,73326,92562,191,64
3:45:35:4535,13:45:35:4535, 70,66,26,4818,486945,68409,15110,34359,72302,41677,23331,21449,192,72
