UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
12:35:51:3551,10:35:51:3551, 60,44,0,3362,119889,285916,22149,52308,47139,28792,5307,10976,134.48
12:35:52:3552,10:35:52:3552, 70,47,0,3387,1245179,344679,300626,267855,41487,120521,25268,34891,135.48
12:35:53:3553,10:35:53:3553, 77,30,0,3412,1536533,1112624,52795,106590,90071,54155,59578,17934,136.48
12:35:55:3555,10:35:55:3555, 80,40,0,3462,251208,36828,1809,9657,8422,3919,3241,454,138.48
12:35:56:3556,10:35:56:3556, 66,34,0,3486,1188718,1201960,225198,516150,52187,70185,19945,13032,139.44
12:35:57:3557,10:35:57:3557, 51,38,0,3512,1792085,1667813,280714,98487,190320,20185,11108,24877,140.48
12:35:58:3558,10:35:58:3558, 43,41,0,3536,840169,170677,69548,29738,37405,14497,5967,5119,141.44
12:35:59:3559,10:35:59:3559, 35,50,0,3561,911545,756464,346577,115763,77928,46845,33742,19905,142.44
12:36:01:361,10:36:01:361, 75,51,0,3610,1279063,137601,13958,30239,3524,31519,3148,3494,144.4
12:36:02:362,10:36:02:362, 81,50,0,3636,578100,79782,3380,30628,8240,10409,4438,2722,145.44
12:36:03:363,10:36:03:363, 81,50,25,3660,688065,326160,42047,47513,50250,42230,4901,2658,146.4
12:36:04:364,10:36:04:364, 81,50,25,3685,12781,5207,1580,1101,681,461,121,85,147.4
12:36:05:365,10:36:05:365, 81,43,0,3710,1228224,852329,136243,166565,150902,45049,15837,6970,148.4
12:36:06:366,10:36:06:366, 81,43,25,3735,252806,187594,11119,13494,8550,5075,1502,1514,149.4
12:36:07:367,10:36:07:367, 81,43,25,3761,837355,14282,6917,4720,5242,1790,550,594,150.44
12:36:08:368,10:36:08:368, 60,47,0,3785,146793,59513,40859,12680,8077,1630,358,1243,151.4
12:36:09:369,10:36:09:369, 51,37,0,3810,529420,123645,5731,7417,17719,9331,5991,944,152.4
12:36:10:3610,10:36:10:3610, 51,37,26,3834,405390,23472,16569,3728,16219,4054,1034,681,153.36
12:36:11:3611,10:36:11:3611, 51,37,25,3860,71062,140962,25992,9251,16180,11870,5452,4192,154.4
12:36:13:3613,10:36:13:3613, 34,38,0,3910,926982,1953857,609363,385243,146035,49061,56152,41946,156.4
12:36:14:3614,10:36:14:3614, 30,43,0,3935,507711,186000,71977,13915,15021,9107,9987,2407,157.4
12:36:15:3615,10:36:15:3615, 54,37,0,3959,2268651,478935,153763,78174,58258,99264,39268,18446,158.36
12:36:16:3616,10:36:16:3616, 51,51,0,3984,1154824,179167,29885,48338,16059,12528,4085,3327,159.36
12:36:17:3617,10:36:17:3617, 67,56,0,4008,508422,105433,91784,30280,39629,17378,4794,2388,160.32
12:36:18:3618,10:36:18:3618, 75,67,0,4034,143100,30562,40386,18779,6019,5547,1571,3050,161.36
12:36:20:3620,10:36:20:3620, 57,80,0,4083,454216,83564,97911,59602,18826,7722,3150,2840,163.32
12:36:21:3621,10:36:21:3621, 56,87,0,4109,1036223,100689,163803,28680,7996,19409,4406,3662,164.36
12:36:22:3622,10:36:22:3622, 53,78,0,4133,139616,196681,55250,85662,12963,15752,2838,2432,165.32
12:36:23:3623,10:36:23:3623, 53,88,0,4158,783617,69370,12315,55128,7310,6100,3033,6306,166.32
12:36:25:3625,10:36:25:3625, 63,48,0,4208,674670,294017,55117,25249,13539,8628,3709,1664,168.32
12:36:26:3626,10:36:26:3626, 66,37,0,4234,1290428,201080,26487,23906,31040,16238,6891,2905,169.36
12:36:27:3627,10:36:27:3627, 56,16,0,4258,582913,415016,30200,23282,31738,8182,9818,3506,170.32
12:36:28:3628,10:36:28:3628, 41,20,0,4283,724686,2351273,339349,232261,103244,133621,23754,8505,171.32
12:36:30:3630,10:36:30:3630, 47,24,0,4333,830665,129752,29630,18517,17816,6711,2842,2788,173.32
12:36:31:3631,10:36:31:3631, 56,37,0,4357,520860,739237,289364,26028,57084,54633,14046,20310,174.28
12:36:32:3632,10:36:32:3632, 56,37,26,4382,2038966,173698,4499,36251,51911,23164,10394,4640,175.28
12:36:33:3633,10:36:33:3633, 56,47,0,4408,741493,98962,60725,4709,14029,7417,3027,4556,176.32
12:36:34:3634,10:36:34:3634, 48,54,0,4432,635692,95414,66039,10198,14166,4822,5000,6036,177.28
12:36:35:3635,10:36:35:3635, 47,57,0,4458,346794,163288,62832,7705,12888,8480,7604,4066,178.32
12:36:36:3636,10:36:36:3636, 48,53,0,4481,1328458,589174,141198,41628,101182,42049,15638,11616,179.24
12:36:37:3637,10:36:37:3637, 43,57,0,4507,844390,147130,100224,48480,10150,8344,5352,2235,180.28
12:36:38:3638,10:36:38:3638, 66,50,0,4532,1339013,56404,21025,3680,4528,22923,2705,3202,181.28
12:36:40:3640,10:36:40:3640, 77,67,0,4582,1298107,83024,23657,21911,17618,7820,5673,4319,183.28
12:36:42:3642,10:36:42:3642, 57,67,0,4632,1924050,391531,188509,119481,83871,27162,8394,26825,185.28
12:36:44:3644,10:36:44:3644, 41,47,0,4682,847248,1176236,127788,19359,98151,30931,9416,12313,187.28
12:36:45:3645,10:36:45:3645, 48,47,0,4706,567075,101430,32614,21107,10865,9784,2720,4033,188.24
12:36:46:3646,10:36:46:3646, 38,21,0,4730,1428150,1331692,55088,16918,45644,21217,18914,21739,189.2
12:36:47:3647,10:36:47:3647, 43,23,0,4757,700987,526016,275391,140721,23475,57411,11169,27202,190.28
12:36:48:3648,10:36:48:3648, 53,34,0,4780,619703,107534,5981,29278,4389,9282,3260,5527,191.2
12:36:49:3649,10:36:49:3649, 51,30,0,4806,1561308,87974,34642,10269,14167,7482,1904,5960,192.24
12:36:51:3651,10:36:51:3651, 57,51,0,4855,247216,70918,2009,20084,15723,7515,1715,1493,194.2
12:36:52:3652,10:36:52:3652, 54,53,0,4880,776180,66796,8377,20045,3476,4482,1315,720,195.2
12:36:53:3653,10:36:53:3653, 53,57,0,4904,1703534,768458,388250,153817,23983,56038,17776,20014,196.16
12:36:54:3654,10:36:54:3654, 66,47,0,4931,594362,605339,103193,131080,83519,75834,13258,16220,197.24
12:36:55:3655,10:36:55:3655, 53,50,0,4954,1145835,777968,74402,251970,123055,23940,19437,18475,198.16
12:36:56:3656,10:36:56:3656, 43,48,0,4980,41132,110995,14780,19622,2406,2679,732,1313,199.2
12:36:58:3658,10:36:58:3658, 27,63,0,5029,1664216,631619,636532,52930,29892,18326,24125,16267,201.16
12:36:59:3659,10:36:59:3659, 34,53,0,5054,287899,1143217,52078,99426,23729,38456,11059,25161,202.16
12:37:00:370,10:37:00:370, 43,56,0,5079,994964,545746,45405,187803,28991,39485,12238,19483,203.16
12:37:01:371,10:37:01:371, 43,56,25,5104,469796,119302,38585,20318,12390,4666,1194,1196,204.16
12:37:02:372,10:37:02:372, 43,56,51,5128,653703,31299,7569,7066,5991,3014,367,620,205.12
12:37:03:373,10:37:03:373, 43,29,0,5154,2729722,145233,7879,5364,13367,12244,3163,4282,206.16
12:37:04:374,10:37:04:374, 61,29,0,5178,109166,51438,31137,35675,6554,10826,1734,2545,207.12
12:37:05:375,10:37:05:375, 70,51,0,5203,2045730,330380,412187,25316,17211,59559,14308,12077,208.12
12:37:07:377,10:37:07:377, 66,50,0,5253,700626,144585,6018,11361,12033,7805,2529,4431,210.12
12:37:08:378,10:37:08:378, 66,38,0,5279,1075130,80747,14571,15250,16462,8338,1109,4364,211.16
12:37:09:379,10:37:09:379, 50,24,0,5302,1359607,590103,136184,52650,32563,12367,7328,4818,212.08
12:37:10:3710,10:37:10:3710, 44,35,0,5328,1013210,82250,20702,34568,3531,3779,1931,2226,213.12
12:37:11:3711,10:37:11:3711, 44,35,51,5352,593102,103814,20181,36655,2835,5932,1383,978,214.08
12:37:12:3712,10:37:12:3712, 44,50,0,5378,566103,51207,23729,3140,4850,3738,1019,1307,215.12
12:37:13:3713,10:37:13:3713, 44,50,27,5403,468564,17285,3360,832,328,587,251,568,216.12
12:37:14:3714,10:37:14:3714, 35,41,0,5427,951297,92408,2538,9786,4285,3542,1316,2926,217.08
12:37:15:3715,10:37:15:3715, 40,40,0,5453,712142,457662,99081,19564,10391,14627,8001,6708,218.12
12:37:16:3716,10:37:16:3716, 30,29,0,5477,1501384,766409,153163,51078,15962,11097,7243,5426,219.08
12:37:17:3717,10:37:17:3717, 34,21,0,5502,1548698,604419,78693,52797,11514,44757,15793,2165,220.08
12:37:19:3719,10:37:19:3719, 17,27,0,5552,80841,19493,10074,4403,1280,1286,429,381,222.08
12:37:20:3720,10:37:20:3720, 16,23,0,5578,710624,450319,42609,29698,6730,4920,788,1470,223.12
12:37:21:3721,10:37:21:3721, 16,23,25,5601,2026016,183806,115078,38375,28211,18389,6608,2132,224.04
12:37:22:3722,10:37:22:3722, 4,21,0,5627,485853,278872,29697,17613,9624,5719,7737,4949,225.08
12:37:23:3723,10:37:23:3723, 4,21,26,5651,252949,37136,5851,6134,4203,2366,430,309,226.04
12:37:24:3724,10:37:24:3724, 20,41,0,5676,121934,49421,26438,7627,5147,2184,1395,1176,227.04
12:37:25:3725,10:37:25:3725, 16,40,0,5701,878602,274858,153882,5627,5955,10876,4562,3549,228.04
12:37:26:3726,10:37:26:3726, 23,47,0,5726,1845631,803607,219265,21004,27128,20463,7761,4243,229.04
12:37:27:3727,10:37:27:3727, 30,57,0,5752,179571,80153,30680,24324,12155,6284,979,1346,230.08
12:37:28:3728,10:37:28:3728, 38,64,0,5775,718280,205572,188358,73867,4045,22117,5235,5406,231
12:37:29:3729,10:37:29:3729, 41,60,0,5802,561110,113261,32576,11572,2460,6074,1809,644,232.08
12:37:30:3730,10:37:30:3730, 50,57,0,5825,911834,31897,4582,5828,5194,1696,814,865,233
12:37:31:3731,10:37:31:3731, 53,66,0,5851,1290031,23261,28336,2494,3495,3332,911,699,234.04
12:37:32:3732,10:37:32:3732, 53,66,26,5875,1366635,166506,50405,99434,44646,40001,16852,2340,235
12:37:33:3733,10:37:33:3733, 54,75,0,5900,1197341,108840,414396,106071,24315,34663,8573,24172,236
12:37:34:3734,10:37:34:3734, 50,70,0,5926,275945,322875,69882,16652,4844,8661,4124,2481,237.04
12:37:36:3736,10:37:36:3736, 50,80,0,5975,333969,334601,231361,46558,11833,42722,10319,6098,239
12:37:37:3737,10:37:37:3737, 34,54,0,5999,1013485,326541,68889,7373,12852,4248,3236,6100,239.96
12:37:39:3739,10:37:39:3739, 41,51,0,6050,1321345,849547,160882,98641,42274,31612,15957,3861,242
12:37:40:3740,10:37:40:3740, 29,48,0,6074,303359,154531,65184,30706,4025,5614,1953,1393,242.96
12:37:43:3743,10:37:43:3743, 64,56,0,6150,2597481,367831,199739,63029,69941,67622,17536,10093,246
12:37:44:3744,10:37:44:3744, 78,57,0,6173,817672,82487,25922,36230,7016,12440,2822,2699,246.92
12:37:45:3745,10:37:45:3745, 70,64,0,6199,705115,280658,128697,126665,25339,30579,14809,12041,247.96
12:37:46:3746,10:37:46:3746, 63,54,0,6223,2318862,1087190,69318,112870,32697,27851,6941,6803,248.92
12:37:47:3747,10:37:47:3747, 57,47,0,6248,768576,209807,20909,33717,30280,19316,3894,6484,249.92
12:37:48:3748,10:37:48:3748, 54,35,0,6274,540730,166937,9842,28823,8926,13359,9097,10890,250.96
12:37:49:3749,10:37:49:3749, 48,34,0,6298,1520512,400835,202931,187086,79534,21127,47702,8112,251.92
12:37:50:3750,10:37:50:3750, 53,44,0,6324,1544413,433589,6511,246509,126589,22973,18796,16146,252.96
